ZipCode,RepCompanyName,TduCompanyName,RepCompany,Product,kwh500,kwh1000,kwh2000,kwh500_PerMo,kwh1000_PerMo,kwh2000_PerMo,PrePaid,Fixed,RateType,Renewable,TermTypeDesc,TermValue,TermType,CancelTypeDesc,CancelType,Website,SpecialTerms,TermsURL,FactsURL,PrepaidURL,Promotion,PromotionDesc
"","","AEP TEXAS NORTH COMPANY","VETERAN ENERGY","FREEDOM MONTH TO MONTH",0.1300,0.1200,0.1200,65.0000,120.0000,240.0000,False,0,"Variable","12","Value","0","0","Value","0.00","http://www.veteranenergy.us/","100% Veteran-Owned; ""Power To Give Back"", See Our Website For Details. Buy Electricity from Veteran Energy and support our Troops and Veterans.","https://secure.veteranenergy.us/Docs/ve_tos.pdf","https://secure.veteranenergy.us/Docs/ve_efl_m2m_freedom.pdf","","False","No Promotion",0
"","","SHARYLAND UTILITIES LP","Potentia Energy","Potentia Peace of Mind 6 ",0.1230,0.1030,0.1030,61.5000,103.0000,206.0000,False,1,"Fixed","6","Value","6","6","Value","150.00","https://www.potentiaenergy.com/residential.html","Enjoy our award-winning customer service - 2011 Better Business Bureau (BBB) Winner of Distinction. No e-billing or auto bill payment required. Now offering high consumption customers a credit of $9.99 each billing cycle.","https://enrollment.potentiaenergy.com/Documents/RT121911B.pdf","https://enrollment.potentiaenergy.com/Documents/SU_PPOM6_1030_041612.pdf","","False","No Promotion",0
"","","ONCOR ELECTRIC DELIVERY COMPANY","Tara Energy","Paperless e-Plan Fixed - 12 Months",0.1000,0.0840,0.0830,50.0000,84.0000,166.0000,False,1,"Fixed","11","Value","12","12","Value","250.00","http://www.taraenergy.com/Tara06/view+plans+and+prices.aspx?DUNS=1039940674000&promocode=PTCFIXED","Online enrollment, e-billing, and auto-draft are required. ","http://www.taraenergy.com/WE/PDFRightsTerms/RES_TOS_ENG_TE.pdf","http://www.taraenergy.com/taraptcefls/TE_Res_EFL_Oncor_Paperless_12.pdf","","False","No Promotion",0
"","","CENTERPOINT ENERGY","TriEagle Energy","Eagle 18",0.1030,0.0980,0.0950,51.5000,98.0000,190.0000,False,1,"Fixed","4","Value","18","18","Text","$20.00 per month left in term","https://www.trieagleenergy.com/residential/default.aspx?utm_source=PowerToChoose&utm_medium=ptc&utm_term=18%2Bmonth&utm_campaign=PowerToChoose","Check out the fine print! We have NO monthly minimums, NO extra AMS meter charges, and NO gimmicks or gotchas.  Rest Easy - TriEagle will never sell your private AMS usage history to any third parties.<br />","http://www.trieagleenergy.com/Docs/TOS.pdf","http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CNP-18mo.pdf","","False","No Promotion",0
"","","AEP TEXAS NORTH COMPANY","BOUNCE ENERGY","Organic Power Fixed 6",0.1210,0.0960,0.0910,60.5000,96.0000,182.0000,False,1,"Fixed","100","Value","6","6","Value","150.00","http://www.bounceenergy.com/texas/green-plan-fixed-6/msid/51","*Call 1-866-962-6862 to sign up! *100% green energy, locked in for 6 bills.*Rewards Program with movie tickets or free companion airline ticket, bill credits or gift cards, and FREE month of electricity.","http://www.bounceenergy.com/terms-of-service-fixed.pdf","http://www.bounceenergy.com/efls/organicpowerfixed6.pdf","","False","No Promotion",0
"","","AEP TEXAS NORTH COMPANY","Potentia Energy","Potentia Peace of Mind 6",0.1180,0.0980,0.0980,59.0000,98.0000,196.0000,False,1,"Fixed","6","Value","6","6","Value","150.00","https://www.potentiaenergy.com/residential.html","Enjoy our award-winning customer service - 2011 Better Business Bureau (BBB) Winner of Distinction. No e-billing or auto bill payment required. Now offering high consumption customers a credit of $9.99 each billing cycle.","https://enrollment.potentiaenergy.com/Documents/RT121911B.pdf","https://enrollment.potentiaenergy.com/Documents/WTU_PPOM6_980_041612.pdf","","False","No Promotion",0
"","","AEP TEXAS NORTH COMPANY","YEP","12 Month Fixed Rate Guaranteed E-Plan ",0.1120,0.0850,0.0790,56.0000,85.0000,158.0000,False,1,"Fixed","10","Value","12","12","Value","175.00","http://www.yeptexas.com","Sign up and receive YEP's Low Price Guaranty!","http://www.yeptexas.com/Docs/yep-tos-fixed.pdf","http://www.yeptexas.com/Docs/yep-efl-fixed-12-nongreen.pdf","","False","No Promotion",0
"","","AEP TEXAS NORTH COMPANY","StarTex Power","12 Month Texas Wind power Fixed Rate",0.1060,0.1030,0.1020,53.0000,103.0000,204.0000,False,1,"Fixed","100","Value","12","12","Value","150.00","http://www.startexpower.com/","Texans Serving Texans!  Check out our other great rates available!  www.StarTexPower.com ","https://www.startexpower.com/tos/TOS-TGD4440A.pdf","https://www.startexpower.com/efl/EFL-EUG12ND4504SA-WTU-FixedGreen-12-20120501.pdf","","False","No Promotion",0
"","","TEXAS-NEW MEXICO POWER COMPANY","Amigo Energy","Amigo Essentials 24 Month",0.1130,0.0890,0.0880,56.5000,89.0000,176.0000,False,1,"Fixed","11","Value","24","24","Value","125.00","https://www.amigoenergy.com/Residential/PlansandPrices.aspx?pc=PTC&DUNS=007929441","This program includes additional fees. Please refer to the facts label for additional details. Call our New Customer Hotline 1-888-995-9299.","http://webs.amigoenergy.com/TOSYRAC/RES_TOS_ENG.pdf","http://webs.amigoenergy.com/EFLPDFs/ptc/AMI_Res_EFL_TNMP_Essen_24.pdf","","False","No Promotion",0
"","","ONCOR ELECTRIC DELIVERY COMPANY","Entrust Energy","Texas Refresh",0.1220,0.1160,0.1110,61.0000,116.0000,222.0000,False,1,"Fixed","100","Value","12","12","Value","200.00","http://www.entrustenergy.com/enrollments/powertochoose","It's time for a change! Lock in this fixed 12-month competitive plan with no monthly customer fees, no sign up fees, no fees to call us and no fees to pay online. Customers who choose Texas Refresh will support the generation of renewable energy from various facilities throughout Texas. Entrust Energy will purchase and retire Texas renewable energy credits in an amount equal to your usage on this plan. For more information, please visit www.entrustenergy.com, call us toll-free at 1.800.871.8100, or email us at customercare@entrustenergy.com.","http://www.entrustenergy.com/files/uploads/terms_of_service/email/english/Entrust_Energy_Terms_of_Service_02_06012_English1.pdf","http://www.entrustenergy.com/files/uploads/electricity_facts_label/english/TXY1F12008_TexasRefresh_Oncor_11_3_English_040412.pdf","","False","No Promotion",0
